results_block correlations report | dataset=somos
procedures: global_concat, global_rm, block_concat, block_rm
internal consistency: concat vs rm (global), concat vs rm (block)

1) correlations to target — global concat
tr     label                     system          mode      variant         PCC         SRCC        KTAU        n
23     w2v2-large + BiLSTM       061             reverse   no_pause        0.596125    0.196497    0.126984    28
23     w2v2-large + BiLSTM       061             reverse   original        0.642577    0.222222    0.148148    28
23     w2v2-large + BiLSTM       110             reverse   long_pause      0.813746    0.422179    0.263645    47
23     w2v2-large + BiLSTM       110             reverse   long_pause_noi  0.779969    0.343432    0.202590    47
23     w2v2-large + BiLSTM       110             reverse   no_pause        0.739937    0.523242    0.372803    47
23     w2v2-large + BiLSTM       110             reverse   original        0.764596    0.587650    0.420907    47
23     w2v2-large + BiLSTM       124             reverse   long_pause      -0.554371   -0.680392   -0.438655   35
23     w2v2-large + BiLSTM       124             reverse   long_pause_noi  -0.557296   -0.710364   -0.478992   35
23     w2v2-large + BiLSTM       124             reverse   no_pause        -0.114634   -0.292997   -0.169748   35
23     w2v2-large + BiLSTM       124             reverse   original        -0.108824   -0.359104   -0.236975   35
23     w2v2-large + BiLSTM       191             reverse   long_pause      0.191852    0.357071    0.240404    55
23     w2v2-large + BiLSTM       191             reverse   long_pause_noi  0.741176    0.589538    0.411448    55
23     w2v2-large + BiLSTM       191             reverse   no_pause        -0.108412   0.185859    0.154209    55
23     w2v2-large + BiLSTM       191             reverse   original        0.006547    0.201443    0.155556    55
23     w2v2-large + BiLSTM       057             forward   long_pause      0.269727    0.593725    0.395412    39
23     w2v2-large + BiLSTM       057             forward   long_pause_noi  0.310489    0.010324    0.014845    39
23     w2v2-large + BiLSTM       057             forward   no_pause        -0.489315   0.131377    0.082321    39
23     w2v2-large + BiLSTM       057             forward   original        -0.350567   0.325304    0.230769    39
23     w2v2-large + BiLSTM       061             forward   long_pause      0.491985    0.654625    0.571429    28
23     w2v2-large + BiLSTM       061             forward   long_pause_noi  -0.464369   -0.625616   -0.529101   28
23     w2v2-large + BiLSTM       061             forward   no_pause        0.498499    0.637657    0.571429    28
23     w2v2-large + BiLSTM       061             forward   original        0.566165    0.625068    0.544974    28
23     w2v2-large + BiLSTM       110             forward   long_pause      0.840618    0.924722    0.755782    47
23     w2v2-large + BiLSTM       110             forward   long_pause_noi  0.371397    0.701665    0.555967    47
23     w2v2-large + BiLSTM       110             forward   no_pause        0.874287    0.925994    0.763182    47
23     w2v2-large + BiLSTM       110             forward   original        0.847862    0.926457    0.763182    47
23     w2v2-large + BiLSTM       124             forward   long_pause      -0.325813   -0.271148   -0.156303   35
23     w2v2-large + BiLSTM       124             forward   long_pause_noi  -0.199760   -0.035294   -0.028571   35
23     w2v2-large + BiLSTM       124             forward   no_pause        -0.390677   -0.312605   -0.193277   35
23     w2v2-large + BiLSTM       124             forward   original        -0.407434   -0.271709   -0.146218   35
23     w2v2-large + BiLSTM       191             forward   long_pause      0.836222    0.729293    0.524579    55
23     w2v2-large + BiLSTM       191             forward   long_pause_noi  -0.557791   -0.645887   -0.442424   55
23     w2v2-large + BiLSTM       191             forward   no_pause        0.880671    0.713997    0.512458    55
23     w2v2-large + BiLSTM       191             forward   original        0.895223    0.715729    0.513805    55
24     w2v2-base + BiLSTM        057             random    long_pause      -0.721998   -0.671660   -0.460189   39
24     w2v2-base + BiLSTM        057             random    long_pause_noi  0.113885    -0.037247   0.006748    39
24     w2v2-base + BiLSTM        057             random    no_pause        -0.850243   -0.818623   -0.641026   39
24     w2v2-base + BiLSTM        057             random    original        -0.836607   -0.604049   -0.430499   39
24     w2v2-base + BiLSTM        061             random    long_pause      -0.044701   0.056924    0.068783    28
24     w2v2-base + BiLSTM        061             random    long_pause_noi  -0.616134   -0.392447   -0.238095   28
24     w2v2-base + BiLSTM        061             random    no_pause        0.505372    0.399562    0.269841    28
24     w2v2-base + BiLSTM        061             random    original        0.496684    0.433498    0.291005    28
24     w2v2-base + BiLSTM        110             random    long_pause      0.642262    0.781799    0.652174    47
24     w2v2-base + BiLSTM        110             random    long_pause_noi  0.647293    0.430735    0.304348    47
24     w2v2-base + BiLSTM        110             random    no_pause        0.346385    0.503006    0.370953    47
24     w2v2-base + BiLSTM        110             random    original        0.290737    0.584759    0.443108    47
24     w2v2-base + BiLSTM        124             random    long_pause      -0.829037   -0.302521   -0.186555   35
24     w2v2-base + BiLSTM        124             random    long_pause_noi  -0.401482   -0.142297   -0.095798   35
24     w2v2-base + BiLSTM        124             random    no_pause        -0.780212   -0.516246   -0.364706   35
24     w2v2-base + BiLSTM        124             random    original        -0.533742   -0.459384   -0.351261   35
24     w2v2-base + BiLSTM        191             random    long_pause      0.740907    0.786508    0.621549    55
24     w2v2-base + BiLSTM        191             random    long_pause_noi  0.753847    0.781025    0.622896    55
24     w2v2-base + BiLSTM        191             random    no_pause        0.763008    0.790837    0.620202    55
24     w2v2-base + BiLSTM        191             random    original        0.761968    0.787734    0.614815    55
24     w2v2-base + BiLSTM        057             reverse   long_pause      0.371862    0.237449    0.155196    39
24     w2v2-base + BiLSTM        057             reverse   long_pause_noi  0.380286    0.158502    0.101215    39
24     w2v2-base + BiLSTM        057             reverse   no_pause        0.320306    0.232186    0.141700    39
24     w2v2-base + BiLSTM        057             reverse   original        0.368214    0.247571    0.155196    39
24     w2v2-base + BiLSTM        061             reverse   long_pause      0.347127    0.118774    0.089947    28
24     w2v2-base + BiLSTM        061             reverse   long_pause_noi  0.406961    -0.089765   -0.031746   28
24     w2v2-base + BiLSTM        061             reverse   no_pause        0.401639    0.182266    0.126984    28
24     w2v2-base + BiLSTM        061             reverse   original        0.393486    0.218391    0.164021    28
24     w2v2-base + BiLSTM        110             reverse   long_pause      0.518267    0.170097    0.013876    47
24     w2v2-base + BiLSTM        110             reverse   long_pause_noi  0.754636    0.239940    0.082331    47
24     w2v2-base + BiLSTM        110             reverse   no_pause        0.498891    0.266883    0.197040    47
24     w2v2-base + BiLSTM        110             reverse   original        0.490204    0.255319    0.195190    47
24     w2v2-base + BiLSTM        124             reverse   long_pause      -0.657631   -0.781513   -0.512605   35
24     w2v2-base + BiLSTM        124             reverse   long_pause_noi  -0.740343   -0.784034   -0.546218   35
24     w2v2-base + BiLSTM        124             reverse   no_pause        -0.742645   -0.787955   -0.536134   35
24     w2v2-base + BiLSTM        124             reverse   original        -0.696709   -0.738095   -0.502521   35
24     w2v2-base + BiLSTM        191             reverse   long_pause      -0.128024   0.219841    0.151515    55
24     w2v2-base + BiLSTM        191             reverse   long_pause_noi  0.410230    0.288456    0.208081    55
24     w2v2-base + BiLSTM        191             reverse   no_pause        -0.366671   0.173160    0.148822    55
24     w2v2-base + BiLSTM        191             reverse   original        -0.354281   0.162193    0.129966    55
24     w2v2-base + BiLSTM        057             forward   long_pause      0.687793    0.615587    0.417004    39
24     w2v2-base + BiLSTM        057             forward   long_pause_noi  0.775908    0.499190    0.346829    39
24     w2v2-base + BiLSTM        057             forward   no_pause        0.443564    0.553036    0.387314    39
24     w2v2-base + BiLSTM        057             forward   original        0.119040    0.314575    0.236167    39
24     w2v2-base + BiLSTM        061             forward   long_pause      -0.031522   -0.231527   -0.201058   28
24     w2v2-base + BiLSTM        061             forward   long_pause_noi  -0.464350   -0.634921   -0.534392   28
24     w2v2-base + BiLSTM        061             forward   no_pause        0.400998    0.506842    0.402116    28
24     w2v2-base + BiLSTM        061             forward   original        0.441368    0.516694    0.433862    28
24     w2v2-base + BiLSTM        110             forward   long_pause      0.824371    0.914778    0.729880    47
24     w2v2-base + BiLSTM        110             forward   long_pause_noi  0.605722    0.855805    0.676226    47
24     w2v2-base + BiLSTM        110             forward   no_pause        0.878960    0.926573    0.774283    47
24     w2v2-base + BiLSTM        110             forward   original        0.870405    0.925648    0.772433    47
24     w2v2-base + BiLSTM        124             forward   long_pause      -0.387014   -0.353782   -0.243697   35
24     w2v2-base + BiLSTM        124             forward   long_pause_noi  -0.275030   -0.224650   -0.146218   35
24     w2v2-base + BiLSTM        124             forward   no_pause        -0.418673   -0.415686   -0.273950   35
24     w2v2-base + BiLSTM        124             forward   original        -0.451405   -0.265826   -0.136134   35
24     w2v2-base + BiLSTM        191             forward   long_pause      0.092409    0.086508    0.063973    55
24     w2v2-base + BiLSTM        191             forward   long_pause_noi  -0.383128   -0.241703   -0.139394   55
24     w2v2-base + BiLSTM        191             forward   no_pause        0.468301    0.589105    0.387205    55
24     w2v2-base + BiLSTM        191             forward   original        0.474465    0.600866    0.400673    55
26     w2v2-base + Conv          057             random    long_pause      -0.724664   -0.776316   -0.573549   39
26     w2v2-base + Conv          057             random    long_pause_noi  -0.098951   -0.154251   -0.098516   39
26     w2v2-base + Conv          057             random    no_pause        -0.843336   -0.783401   -0.592443   39
26     w2v2-base + Conv          057             random    original        -0.841703   -0.740081   -0.557355   39
26     w2v2-base + Conv          061             random    long_pause      0.698466    0.681445    0.502646    28
26     w2v2-base + Conv          061             random    long_pause_noi  -0.498557   -0.229338   -0.121693   28
26     w2v2-base + Conv          061             random    no_pause        0.788274    0.749863    0.550265    28
26     w2v2-base + Conv          061             random    original        0.765338    0.751505    0.529101    28
26     w2v2-base + Conv          110             random    long_pause      0.525988    0.425416    0.263645    47
26     w2v2-base + Conv          110             random    long_pause_noi  0.567823    0.126850    0.056429    47
26     w2v2-base + Conv          110             random    no_pause        0.271572    0.041859    -0.058279   47
26     w2v2-base + Conv          110             random    original        0.231293    0.074468    -0.008326   47
26     w2v2-base + Conv          124             random    long_pause      -0.649319   -0.092437   -0.048739   35
26     w2v2-base + Conv          124             random    long_pause_noi  -0.165556   0.056863    0.055462    35
26     w2v2-base + Conv          124             random    no_pause        -0.630455   -0.090476   -0.042017   35
26     w2v2-base + Conv          124             random    original        -0.389268   -0.052101   -0.005042   35
26     w2v2-base + Conv          191             random    long_pause      0.713736    0.734776    0.595960    55
26     w2v2-base + Conv          191             random    long_pause_noi  0.695411    0.734704    0.590572    55
26     w2v2-base + Conv          191             random    no_pause        0.724216    0.740115    0.606734    55
26     w2v2-base + Conv          191             random    original        0.715269    0.751371    0.617508    55
26     w2v2-base + Conv          057             reverse   long_pause      0.482751    0.268219    0.163293    39
26     w2v2-base + Conv          057             reverse   long_pause_noi  0.464576    0.256275    0.179487    39
26     w2v2-base + Conv          057             reverse   no_pause        0.484056    0.246154    0.155196    39
26     w2v2-base + Conv          057             reverse   original        0.507587    0.266397    0.155196    39
26     w2v2-base + Conv          061             reverse   long_pause      0.575199    0.111658    0.068783    28
26     w2v2-base + Conv          061             reverse   long_pause_noi  0.569426    -0.055829   0.000000    28
26     w2v2-base + Conv          061             reverse   no_pause        0.594776    0.182266    0.116402    28
26     w2v2-base + Conv          061             reverse   original        0.599826    0.207991    0.148148    28
26     w2v2-base + Conv          110             reverse   long_pause      0.184767    -0.055967   -0.015726   47
26     w2v2-base + Conv          110             reverse   long_pause_noi  0.647161    0.433973    0.280296    47
26     w2v2-base + Conv          110             reverse   no_pause        0.109646    -0.064524   0.000925    47
26     w2v2-base + Conv          110             reverse   original        0.076591    -0.052382   0.010176    47
26     w2v2-base + Conv          124             reverse   long_pause      -0.743423   -0.723810   -0.472269   35
26     w2v2-base + Conv          124             reverse   long_pause_noi  -0.790093   -0.769468   -0.539496   35
26     w2v2-base + Conv          124             reverse   no_pause        -0.725839   -0.656022   -0.428571   35
26     w2v2-base + Conv          124             reverse   original        -0.668768   -0.532773   -0.361345   35
26     w2v2-base + Conv          191             reverse   long_pause      -0.295877   0.157143    0.120539    55
26     w2v2-base + Conv          191             reverse   long_pause_noi  0.551114    0.200289    0.129966    55
26     w2v2-base + Conv          191             reverse   no_pause        -0.330397   0.079437    0.063973    55
26     w2v2-base + Conv          191             reverse   original        0.032724    0.138456    0.104377    55
26     w2v2-base + Conv          057             forward   long_pause      0.591377    0.617611    0.414305    39
26     w2v2-base + Conv          057             forward   long_pause_noi  0.770437    0.502834    0.363023    39
26     w2v2-base + Conv          057             forward   no_pause        0.160047    0.510121    0.368421    39
26     w2v2-base + Conv          057             forward   original        -0.191814   0.127126    0.095816    39
26     w2v2-base + Conv          061             forward   long_pause      -0.092114   -0.051450   -0.026455   28
26     w2v2-base + Conv          061             forward   long_pause_noi  -0.465942   -0.623974   -0.529101   28
26     w2v2-base + Conv          061             forward   no_pause        0.437184    0.521620    0.444444    28
26     w2v2-base + Conv          061             forward   original        0.475896    0.544061    0.449735    28
26     w2v2-base + Conv          110             forward   long_pause      0.771912    0.901711    0.720629    47
26     w2v2-base + Conv          110             forward   long_pause_noi  0.466056    0.751735    0.611471    47
26     w2v2-base + Conv          110             forward   no_pause        0.773714    0.884944    0.700278    47
26     w2v2-base + Conv          110             forward   original        0.748344    0.895698    0.715079    47
26     w2v2-base + Conv          124             forward   long_pause      -0.376368   -0.231092   -0.105882   35
26     w2v2-base + Conv          124             forward   long_pause_noi  -0.240084   -0.133894   -0.078992   35
26     w2v2-base + Conv          124             forward   no_pause        -0.393488   -0.231373   -0.119328   35
26     w2v2-base + Conv          124             forward   original        -0.423313   -0.245658   -0.112605   35
26     w2v2-base + Conv          191             forward   long_pause      0.409290    0.180014    0.121886    55
26     w2v2-base + Conv          191             forward   long_pause_noi  -0.603174   -0.591342   -0.435690   55
26     w2v2-base + Conv          191             forward   no_pause        0.227947    0.122511    0.085522    55
26     w2v2-base + Conv          191             forward   original        0.492175    0.278066    0.202694    55
27     w2v2-large + Conv         057             random    long_pause      0.006479    -0.283401   -0.219973   39
27     w2v2-large + Conv         057             random    long_pause_noi  0.340652    0.489069    0.352227    39
27     w2v2-large + Conv         057             random    no_pause        -0.688542   -0.699595   -0.522267   39
27     w2v2-large + Conv         057             random    original        -0.589631   -0.757085   -0.581646   39
27     w2v2-large + Conv         061             random    long_pause      0.880164    0.769020    0.576720    28
27     w2v2-large + Conv         061             random    long_pause_noi  0.090503    0.330597    0.243386    28
27     w2v2-large + Conv         061             random    no_pause        0.955223    0.857690    0.693122    28
27     w2v2-large + Conv         061             random    original        0.955982    0.868090    0.703704    28
27     w2v2-large + Conv         110             random    long_pause      0.588331    0.349561    0.226642    47
27     w2v2-large + Conv         110             random    long_pause_noi  0.515424    0.030759    -0.015726   47
27     w2v2-large + Conv         110             random    no_pause        0.488169    0.070305    0.045328    47
27     w2v2-large + Conv         110             random    original        0.485133    0.048219    0.032377    47
27     w2v2-large + Conv         124             random    long_pause      -0.767998   -0.321289   -0.213445   35
27     w2v2-large + Conv         124             random    long_pause_noi  -0.216182   0.256022    0.166387    35
27     w2v2-large + Conv         124             random    no_pause        -0.590342   -0.139776   -0.099160   35
27     w2v2-large + Conv         124             random    original        -0.492918   -0.047899   -0.031933   35
27     w2v2-large + Conv         191             random    long_pause      0.625223    0.654113    0.463973    55
27     w2v2-large + Conv         191             random    long_pause_noi  0.630676    0.689755    0.515152    55
27     w2v2-large + Conv         191             random    no_pause        0.640279    0.713492    0.562290    55
27     w2v2-large + Conv         191             random    original        0.681876    0.727778    0.594613    55
27     w2v2-large + Conv         057             reverse   long_pause      0.486400    0.289271    0.206478    39
27     w2v2-large + Conv         057             reverse   long_pause_noi  0.459973    0.202227    0.133603    39
27     w2v2-large + Conv         057             reverse   no_pause        0.494724    0.262348    0.176788    39
27     w2v2-large + Conv         057             reverse   original        0.495775    0.280364    0.209177    39
27     w2v2-large + Conv         061             reverse   long_pause      0.566175    0.274767    0.243386    28
